   2636100.9601   1096941.0628        -9.7983        62.8577       -33.6494        47.2963       836.2901         4.8418        39.7784       325.7422         0.0380        -0.4663        -0.8838      -306.2526         0.3662
   2636192.4301   1096782.7389        -2.8710        53.2451       -42.7700        35.1344       895.9523        56.1677        44.8258       250.6931        -0.2195        -0.6134        -0.7587      -230.0155         0.2567
   2635891.0398   1097075.2635        -2.6561        63.5648       -29.0432        48.4685       663.6268        39.4394        38.1273       303.4361        -0.1228        -0.4165        -0.9008      -294.0559         0.4431
   2635688.6172   1095942.8704       -12.1373        10.0516        -8.0422        31.4259       603.8890       -29.5741       -19.9915       137.3431         0.5049        -0.0773        -0.8597      -131.4634         0.2177
   2636400.9839   1096559.1484        15.0966        26.2802       -17.2188        38.3023      1024.4155        54.9951        18.9443       306.4994        -0.3559        -0.3610        -0.8620      -290.6035         0.2837
   2636369.4795   1096768.7719        -6.6840        50.1416       -28.5154        54.3473      1257.9286        33.0728       105.0909       513.5889        -0.0293        -0.5002        -0.8654      -498.0041         0.3959
   2635653.4671   1097141.6903         0.0190        47.4610       -19.0481        41.5573       608.0619       -16.4774         9.1387       228.5974         0.0779        -0.3725        -0.9248      -216.0830         0.3554
   2635995.6864   1095899.6434         3.4922        16.9861       -14.5846        25.1242       887.5595         4.4643        10.3985       144.2365        -0.1532        -0.6254        -0.7651      -117.5433         0.1324
   2635986.5219   1096407.7577        -0.6337        48.6662        -6.3238        71.6294       682.3319        33.9906       -27.8838       439.8957        -0.0762        -0.1296        -0.9886      -433.8758         0.6359
   2635458.6996   1095967.6414       -18.0445        23.1710        -9.9382        56.7939      1188.8238        86.8631       114.6269       503.9387        -0.0246        -0.4085        -0.9124      -508.7701         0.4280
