xcoord,ycoord,xvelbed,yvelbed,zvelbed,thickbed,nodearea,load1,load2,load3,normalbed1,normalbed2,normalbed3,normalload,normalstress,xvelsurf,yvelsurf,zvelsurf,thicksurf,projstress,normalstressbis,normalbed1bis,normalbed2bis,normalbed3bis,xgrad,ygrad,zgrad,vel_h_bed,vel_h_surf
936549.1678,342132.6367,-1.0479,7.8274,-1.5916,59.3436,302.6835,-39.715,11.9504,159.1573,0.5246,-0.1021,-0.8452,-156.5732,0.5173,-1.053,8.0445,-1.7954,59.3436,-0.097,0.5173,0.5246,-0.1021,-0.8452,0.0617,-0.133,0.0215,7.897232753946157,8.113124506008766
936545.4067,342161.37,-1.0465,7.9568,-1.5991,61.5087,347.7353,-40.8113,13.415,180.7521,0.5302,-0.0995,-0.842,-175.1661,0.5037,-1.0571,8.0755,-1.6592,61.5087,-0.1202,0.5037,0.5302,-0.0995,-0.842,0.0776,-0.1246,0.0216,8.025324198435849,8.144394431754886
936541.6456,342190.1033,-1.0565,7.9775,-1.5073,63.34,312.5462,-45.5572,9.8663,167.5377,0.5326,-0.0892,-0.8417,-166.1539,0.5316,-1.0579,8.0816,-1.4892,63.34,-0.1392,0.5316,0.5326,-0.0892,-0.8417,0.0893,-0.1194,0.0222,8.047154683489065,8.15054666694204
936537.8844,342218.8367,-1.0446,7.9655,-1.3579,64.8164,319.0257,-48.1635,7.2962,173.3937,0.5353,-0.0733,-0.8415,-172.2261,0.5399,-1.0588,8.0891,-1.281,64.8164,-0.1437,0.5399,0.5353,-0.0733,-0.8415,0.084,-0.1091,0.0189,8.033702721037168,8.15810003922482
936534.1233,342247.57,-1.039,7.8966,-1.1732,65.879,397.467,-51.1255,7.2597,225.9294,0.5392,-0.0549,-0.8404,-217.8344,0.5481,-1.0598,8.0968,-1.047,65.879,-0.1292,0.5481,0.5392,-0.0549,-0.8404,0.0741,-0.109,0.0174,7.964660228785657,8.165864698854616
936530.3622,342276.3033,-1.0314,7.8018,-1.0434,66.3048,438.7698,-53.6111,5.8165,255.9019,0.5423,-0.041,-0.8392,-244.0657,0.5563,-1.0633,8.1229,-0.7949,66.3048,-0.12,0.5563,0.5423,-0.041,-0.8392,0.0702,-0.1097,0.017,7.869680374703918,8.192198197065302
936526.6011,342305.0367,-0.9977,7.7249,-0.9386,66.6486,354.3469,-54.9298,1.841,213.8042,0.5329,-0.0331,-0.8456,-210.1142,0.593,-1.0716,8.1864,-0.6,66.6486,-0.1073,0.593,0.5329,-0.0331,-0.8456,0.0579,-0.1061,0.0146,7.789061901153437,8.256238339582985
936522.84,342361.045,-0.0391,7.5825,-0.9941,67.9361,269.2207,-36.6487,4.6638,132.9843,0.4907,-0.1117,-0.8641,-133.4203,0.4956,0.0,8.3037,-1.0594,67.9361,-0.0956,0.4956,0.4907,-0.1117,-0.8641,0.0262,-0.0771,0.0066,7.5826008110674,8.3037
936522.84,342388.32,-0.0774,7.5646,-0.9163,69.6732,268.477,-43.7754,6.5814,160.4538,0.4823,-0.1031,-0.8699,-161.3746,0.6011,0.0,8.2931,-1.0939,69.6732,-0.1308,0.6011,0.4823,-0.1031,-0.8699,0.0209,-0.0545,0.0034,7.564995962986366,8.2931
936522.84,342415.595,-0.0511,7.5228,-1.1206,71.6688,269.6309,-45.8773,10.3215,154.914,0.49,-0.1281,-0.8623,-157.3793,0.5837,0.0,8.2819,-1.1525,71.6688,-0.2064,0.5837,0.49,-0.1281,-0.8623,0.0131,-0.0201,0.0006,7.522973551063435,8.2819
936522.84,342442.87,-0.0985,7.3827,-1.011,76.1577,263.1886,-53.5702,10.012,165.5131,0.4859,-0.1153,-0.8664,-170.5805,0.6481,0.0,8.2679,-1.1753,76.1577,-0.1342,0.6481,0.4859,-0.1153,-0.8664,0.0225,0.0253,0.0011,7.383357064371193,8.2679
936522.84,342470.145,-0.0444,7.4054,-0.375,80.9641,394.1016,-57.8454,-3.5402,284.9099,0.493,-0.0472,-0.8688,-275.8672,0.7,0.0,8.2926,-1.1611,80.9641,-0.1558,0.7,0.493,-0.0472,-0.8688,0.0279,0.0363,0.0021,7.40553310167472,8.2926
